17-AAG AEW541 AZD0530 AZD6244 Erlotinib Irinotecan L-685458 LBW242 Lapatinib Nilotinib Nutlin-3 PD-0325901 PD-0332991 PF2341066 PHA-665752 PLX4720 Paclitaxel Panobinostat RAF265 Sorafenib TAE684 TKI258 Topotecan ZD-6474
IGROV1_OVARY 2.6076 0.3161 1.9254 0.6622 1.1493 2.3182 0 0.06797 0.8646 0.4447 0.2323 1.8264 0.01444 0.1002 0.05415 NA 3.7989 4.0604 1.889 0.8575 0.568 0.8688 3.0213 NA
NCIH211_LUNG 3.2255 1.4213 0.61 0.6744 0.1121 3.8559 0.6459 1.6828 0.6736 0.9206 0.1456 0.9559 0.7345 0.6209 0.3437 0.2859 5.7354 5.3056 1.3993 0.7736 1.3403 1.1127 3.8351 0.4266
SKMEL24_SKIN 3.5284 1.1943 0.514 2.0305 0.1272 2.8192 0 0.795 0.3248 0.5484 0.3876 2.8012 0.1802 0.3011 0.2063 1.0325 3.0234 3.9406 1.1696 0.06075 1.0744 0.339 1.972 0.8517
K029AX_SKIN 2.73 1.4618 0.04896 2.493 0.03277 2.933 0.003384 0.2338 0.6687 0.6065 0.6093 3.6445 0.4534 0.5345 0.6852 1.433 5.2658 4.8894 2.2205 0.5472 0.8642 0.7623 2.5552 1.459
HS695T_SKIN 3.3577 0.9336 0.3278 1.5491 0.0222 2.5234 0.02135 0.8372 0.3009 0.1666 0.4623 2.3595 0.294 0.4068 0.2251 0.752 3.3945 4.6716 1.2493 0.09031 0.9149 0.5711 2.2942 0.5239
CHL1_SKIN 3.2799 0.8222 1.1383 0.7278 1.207 2.9906 0 0.4602 2.0464 0.3245 0.28 0.8246 0.08206 0.1746 0.5543 0.3171 5.8572 5.1254 2.3918 0.6945 1.4133 1.0597 2.8476 1.3301
LOUNH91_LUNG 2.6406 0.3336 0.8153 0.4429 1.0477 3.9008 0.1343 0.9006 0.1664 0.3538 0.08353 0.005301 0 0.6149 0.04844 1.1699 6.1409 3.4407 1.3319 1.0337 1.7266 1.1322 2.8967 1.4031
TOV21G_OVARY 3.9631 0.4566 1.6485 1.2785 0.8857 2.6233 0.2344 0.9197 0.5477 0.1506 0.3815 1.3425 0.1943 0.415 0.3605 0.6667 5.0367 3.7608 3.3561 1.0759 1.3244 1.7314 2.732 0.9598
ASPC1_PANCREAS 3.4197 1.3966 0.6383 2.1312 0.2484 2.2418 0.1851 0.4818 0.411 0.2155 0.02477 2.611 0 0.6001 0.2758 0.2848 4.0922 4.1905 1.5547 0.4228 1.4991 0.5118 1.5994 1.1518
OVSAHO_OVARY 1.3862 0.4298 0.8493 0.7329 0.1429 1.8955 0.1184 0.4272 0.3303 0.02441 0.1494 0.9977 0.0811 0 0 0.02867 3.0491 3.2763 0.7466 0.3679 0.666 0.3697 1.9364 0.4626
NCIH441_LUNG 2.8905 1.1125 0.7499 1.6292 0.3066 3.3047 0.03189 0.12 0.4346 0.1257 0.6243 1.6923 0.5023 0.455 0.2391 0.1424 4.4553 3.8005 0.9033 0.2335 1.205 0.5299 2.5101 0.8277
NCIH2030_LUNG 4.9167 0.9753 1.8416 1.0569 1.2982 2.5802 0.1499 0.3874 1.2422 0.3102 0.254 2.026 0.1732 0.4445 0 0.2542 5.1832 3.6894 2.3273 0.5507 0.8499 0.973 4.0152 1.7591
HMCB_SKIN 4.5134 1.1052 1.3243 0.4484 1.0646 3.5353 0.1614 0.4205 1.053 0.5979 0.1048 1.327 0.3092 0.4672 0.5584 0.4418 6.5093 4.588 2.3833 1.3145 1.707 1.8672 3.8274 1.6382
FUOV1_OVARY 1.7438 2.1301 1.7494 1.8458 0.8677 1.2757 0.1524 0.1906 0.6817 0.4601 0.3852 2.2864 0.0499 0.2888 0.2678 0.1328 4.3524 3.5401 1.4192 0.6551 1.5291 1.356 0.7803 1.3519
MALME3M_SKIN 3.6466 1.5363 0.1187 4.9654 0.2374 2.1141 0 0.9947 0.5408 1.1576 0.383 6.4385 0.4133 0.5432 0.269 3.0335 3.8672 4.7209 2.8473 0.8727 1.2676 1.2525 1.5046 0.8149
KMS12BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 4.355 2.4135 0.2465 1.3018 1.0481 NA 1.3154 0.2931 0.7467 1.1375 1.1578 1.3436 2.4095 0.4616 0.4828 0.4044 7.086 6.804 2.193 0.3402 1.8171 1.2077 3.8314 1.1307
T98G_CENTRAL_NERVOUS_SYSTEM 2.537 1.137 1.4143 0.8136 0.5313 0.8403 0.02585 0.2173 0.3194 0.4823 0.5323 0.8449 0.4777 0.238 0.05954 0.6113 4.9955 2.8925 1.4113 1.0637 1.2075 1.8327 1.2564 1.1189
DBTRG05MG_CENTRAL_NERVOUS_SYSTEM 2.7457 0.868 1.475 3.1418 0.3955 3.4461 0 0.4507 0.2992 0.3488 0.8056 2.9241 0.3863 0.468 1.0773 1.8659 5.3756 3.7393 2.5702 0.7186 1.4749 0.6195 3.2015 0.6038
HEYA8_OVARY 3.8485 0.5856 0.596 0.9399 0.2561 3.4329 0.06468 0.04267 0.0632 0.403 0.1962 2.2657 0.4718 0.7314 0 NA 5.1752 4.431 2.2513 0.6201 0.8663 0.8956 3.8241 NA
NCIH2122_LUNG 4.996 1.71 0.8178 3.0327 0.8959 3.6813 0.3496 0.9173 1.0545 0.5732 0.3708 4.4466 1.274 0.618 0.7922 0.8008 6.6492 4.8641 2.0903 0.4757 1.8716 1.0366 4.4313 0.8166
SW620_LARGE_INTESTINE 4.962 1.4577 0.09312 3.5274 0 3.6838 0 0.06866 0 0.1627 0.4372 4.7172 0.7942 1.122 0 0.09719 6.0438 4.822 1.2912 0.4125 1.9704 1.0755 3.5414 1.2619
HCT116_LARGE_INTESTINE 3.4601 0.5664 0.2996 1.9489 0.2184 3.3454 0.05555 0.1936 0.3587 0.2101 0.5542 3.6651 0.1507 0.678 0.6267 0.171 6.4469 4.9122 2.0303 0.8268 1.092 0.6307 3.2013 0.3113
VMRCRCZ_KIDNEY 2.3024 1.31 1.8178 1.3659 0.9017 1.3083 0.7546 0.3024 0.532 0.0939 0.3594 1.8358 0.6809 0.6149 0.1233 0.4771 3.9578 3.8161 1.7293 0.8126 1.457 1.1723 2.0667 1.3906
DU145_PROSTATE 4.4163 0.9597 1.391 0.864 0.9805 3.5571 0.08201 0.2907 0.7691 0.07206 0.02354 1.3267 0.05875 0.6584 0.2331 0.2992 6.0946 4.9332 2.4128 0.3253 1.4144 1.2529 2.9817 1.5505
L33_PANCREAS 3.2074 1.0032 0.3391 1.3015 1.0717 4.4701 0.1434 0.3253 1.7718 0.4161 0.3145 1.5302 0.1368 0.4875 0.04629 0.3614 6.4953 4.3554 2.1702 0.4845 0.8375 0.8761 3.5181 1.1217
SKMEL2_SKIN 2.0922 0.2356 0.1274 1.7595 0.09419 2.7765 0.4891 1.3409 0.9673 0.7005 2.1103 3.0417 0.442 0.4815 0.5486 0.4425 3.657 4.9024 1.6529 0.8119 0.8386 0.6534 1.1798 0.04064
A549_LUNG 2.9712 1.6406 0.4962 1.8637 0.4884 1.7063 0 0.2759 0.6707 0.6661 0.4832 3.1106 0.2405 0.4691 0.08954 0 4.9753 3.6981 1.4266 0.6549 1.3264 1.2616 1.8717 0.4353
A172_CENTRAL_NERVOUS_SYSTEM 2.4662 0.3615 0.2508 0.2375 0.08293 2.5153 0.03331 0.09733 0 0 0.2102 0.5436 0 0.4959 0.08666 0.01494 4.6157 4.0075 1.3704 0.2818 1.4006 1.1598 2.649 1.0122
NCIH1975_LUNG 3.3781 1.0222 0.5187 0.4696 0.4621 1.7151 0.2325 0.2285 0.3094 0.07336 0.1706 1.2184 0 0.2606 0.1393 0.06596 5.9467 3.3759 1.6132 0.1468 1.3584 0.7472 1.6636 0.2174
COLO679_SKIN 3.984 0.9348 0.1354 3.3142 0.4867 2.1461 0.3375 0.1373 0 0.5391 0.6993 4.7338 0.4765 0.4152 0.486 2.2166 4.5201 4.6206 2.4244 0.4606 0.853 0.6854 2.2206 0.311
KP2_PANCREAS 2.7758 1.5709 0.3689 2.2262 0.1607 1.234 0 0.04091 0.2996 0.2871 0.338 3.2738 0.03334 0.393 0 NA 4.8529 3.2117 0.894 0.2155 1.6607 0.6834 1.099 NA
MDAMB453_BREAST 5.5367 1.1017 0.1335 0 0.1473 3.9137 0.1205 0.3383 1.582 0.3012 0 0.9213 0.2768 0.2967 0.04652 0.1361 5.5396 5.7776 1.3141 0.8147 1.0628 0.5439 3.126 0.6659
OV90_OVARY 4.5708 0.8462 0.2935 3.4602 0 2.8504 0 0.727 0.3964 0.6314 0.09546 4.0762 0.072 0.5705 0.07258 0.1413 3.4582 4.7692 1.9905 0.4936 2.2049 0.482 2.9714 0.4307
OVTOKO_OVARY 2.0471 0.508 1.9162 0.3445 0.8693 2.6997 0.301 0.1956 0.8776 0.1559 0.5722 0.5565 0.1509 0.3415 0.2041 NA 2.0493 4.7984 2.134 0.7373 0.7926 0.6268 3.5208 NA
OVCAR4_OVARY 2.2591 0.3216 0.4466 0 0.3913 1.8003 0.0583 2.0923 0.4367 0.2542 0.3606 0.8609 0.1033 0.1563 0.01486 0 4.5514 3.9406 1.3031 0.6127 1.1837 0.4459 2.9929 0.2029
HCT15_LARGE_INTESTINE 2.6346 1.1814 0.9084 0.6149 0.4596 2.7435 0.01443 1.1051 1.0195 0.6787 0.02414 1.4088 0.2188 0.3213 0.2077 0.1654 3.1674 3.1759 2.4916 1.1377 0.9206 1.1809 2.7169 0.2839
SF295_CENTRAL_NERVOUS_SYSTEM 3.2674 0.9258 0.4257 0.466 0.1438 2.844 0.05788 0.2531 0.4123 0.2989 0.2025 0.6552 0.1626 0.8342 0.4697 0.2133 4.5241 3.2886 1.337 0.2399 1.0372 0.9636 3.0484 0.1916
WM115_SKIN 3.7538 0.1716 0.04944 1.5979 0.1035 NA 0.255 1.8514 0.1087 NA 0.1188 2.0602 NA 0 0.3838 0.691 3.5617 3.3891 0.5653 0.3239 0.07927 0.2933 0.8829 0.8184
JHH4_LIVER 0.8741 0.6781 1.0493 0.9964 0.4773 3.466 0.003237 1.1443 0.9322 0.5288 0.4071 1.2402 0.1503 0.4427 0.6874 0.7605 4.1514 4.399 0.9857 0.7286 0.4165 0.1252 4.2614 1.4705
OE33_OESOPHAGUS 4.7147 0.887 1.5313 0.9345 0.842 4.2414 0.1213 1.6295 1.3948 0.1666 0.1788 1.8762 0.9013 2.6605 0.7694 0.4093 4.8996 4.8403 1.5374 0.2001 1.8779 0.2963 3.252 1.2065
CCK81_LARGE_INTESTINE 3.4189 0.7503 1.8014 2.0146 1.8156 NA 0 0.7254 2.3087 NA 0.5473 2.5956 NA 0.3273 0.7094 0.2626 3.4061 4.7212 0.7362 0.1157 1.8427 0.6354 2.4283 2.3861
SJSA1_BONE 3.2033 1.5288 1.3996 0.833 0.4775 NA 0.2222 0.6123 0.3625 NA 1.339 1.746 0.6593 0.6386 0.5401 0 5.3659 4.1913 1.1671 0.9267 1.2566 0.5718 3.5615 0.984
NCIH2228_LUNG 2.7224 0.7983 0.9192 0.4632 0.8593 3.0723 0.003449 0.3097 0.3527 0.2487 0.4886 1.5899 0.2845 1.8879 0.02345 0.1109 5.1908 4.2462 1.6848 0.5604 4.0317 1.0651 2.8877 0.7584
RERFLCAI_LUNG 4.175 0.675 0 1.0537 0.2999 2.9952 0.3502 0.3965 0.306 0.3106 0.2795 1.1637 0.1348 0.498 0.002634 0.1812 6.7642 4.4865 1.7063 0.03211 0.873 1.0698 2.7835 0.4954
SKMES1_LUNG 4.0054 1.921 2.5709 0.8823 2.3791 NA NA 2.5655 2.0259 NA 1.4989 2.3037 NA 1.3051 1.9638 1.0515 4.9906 4.3314 NA 0.5808 2.4285 1.6466 3.7728 2.0888
NCIH520_LUNG 2.9933 0.535 0.7849 0.1026 0 3.2016 0.03915 0.6113 0 0.1169 0.421 0.1691 0.7981 0.2855 0 0.07222 5.9668 4.0233 1.3047 0.4904 0.8424 1.2327 2.1326 0.832
JHH5_LIVER 4.6117 1.2766 1.4841 1.1148 1.4192 NA 0.3826 0.1843 1.8201 NA 0.1139 2.5049 NA 0.3285 0.0742 0.06765 4.7876 4.4314 1.0799 0.3623 0.868 0.3701 4.1015 2.5902
FU97_STOMACH 4.4951 0.9502 1.3435 1.0491 0.3636 NA 0.401 0.4887 0.3622 NA 0.2397 1.9272 NA 0.2194 0.806 0.6619 4.4367 5.2069 1.4073 1.0666 1.3489 1.7745 1.564 1.5508
RL952_ENDOMETRIUM 3.2136 1.2066 1.6957 2.7961 1.5385 2.1034 0.3091 0.1315 1.3016 0.479 0.6145 3.5574 0.5663 0.8308 0 0.228 6.095 4.9122 2.0185 0.1355 1.0425 1.3047 1.9966 1.5608
HCC15_LUNG 3.8606 1.1557 0.9268 1.4084 0.3449 NA 0 1.6691 0.6883 0.3714 0.5754 1.8382 0.1374 0.6549 1.0101 0.5192 5.2761 4.8063 1.6292 0.827 1.3415 0.8745 2.5426 0.9135
CALU6_LUNG 3.0328 1.511 1.5736 1.5986 0.4963 NA NA 1.0712 0.1923 NA 0.106 3.2483 NA 0.7092 0.4372 1.0378 6.5055 4.0829 NA 0.8441 2.1373 0.79 3.0781 0.7187
SKLU1_LUNG 4.1513 1.1 1.7584 1.4771 0.5373 2.8009 0.1226 1.6585 0.7137 0.2903 0.7127 2.4447 0.8757 0.7572 1.0882 0.5841 4.591 4.0676 2.0361 0.02507 1.8224 1.5633 3.1782 1.5185
SW900_LUNG 2.5565 0.3003 0.3648 0.3037 0.1385 NA 0.03436 0.5001 0.4217 0.3543 0.3107 1.1128 0.4161 0.5228 0.09265 0.01962 4.5352 1.8786 0.6137 0.4596 0.4458 0.464 1.0695 0.2478
UACC62_SKIN 4.5286 0.868 1.0493 3.9363 0.6873 NA NA 0.913 0.565 NA 1.1217 4.916 NA 0.7375 0.8429 3.0249 5.3255 4.6762 2.0133 0.398 1.354 0.7377 3.8193 0.6134
MFE280_ENDOMETRIUM 3.2444 0.5249 0.7199 0.5816 0.9432 2.0817 0.2754 0.1119 0.8911 0.3222 0.3682 1.4506 0.4306 0.46 0.1629 0.1392 3.8856 4.9023 1.5917 0.4915 0.6407 1.2541 2.3197 1.5907
MFE319_ENDOMETRIUM 2.5464 0.7763 2.3456 0.9563 1.5436 NA 0.3238 0.8158 1.5418 NA 0.5247 1.4756 NA 0.658 0.8592 0 6.2607 4.2531 NA 0.3111 0.5841 1.2325 2.5258 1.3823
MFE296_ENDOMETRIUM 2.9064 0.9253 1.1319 0.314 0.6176 NA 0.4872 1.0266 0.4447 NA 0.4547 0.6229 NA 0.5073 0.453 0.3759 5.9629 3.909 1.9443 0.583 0.7959 1.3124 4.5965 1.5118
GI1_CENTRAL_NERVOUS_SYSTEM 3.6972 0.5457 0.5236 0.6094 0.1787 NA 0.2226 0.4723 0.216 NA 0.5693 0.7663 NA 1.0878 0.4336 0.6865 5.6551 4.6003 NA 0.4663 1.8359 0.7001 2.6126 1.2145
PC14_LUNG 4.4138 1.5768 3.3372 1.2008 3.7177 NA 1.3271 0.8567 1.6271 NA 0.09898 1.4392 NA 0.5781 1.0704 0.3088 6.7585 4.1845 NA 0.4259 1.7777 1.1328 3.389 3.3291
KYSE410_OESOPHAGUS 3.1735 1.0965 1.2755 0.4508 0.4664 1.4083 0.1766 0.4363 1.1965 0.5324 0.1933 1.0033 0.2584 0.6978 0.704 0.09375 3.8109 4.147 0.822 0.2293 1.2969 0.2454 0.9707 1.8618
PATU8902_PANCREAS 2.4817 1.3212 0.9396 1.4749 0.0789 NA 0.405 0.6972 0.2098 NA 0.4023 2.216 NA 0.4002 0.6979 0.2355 3.2911 3.9954 NA 0.4794 1.4907 0.6359 2.263 0.9198
NCIH810_LUNG 1.5995 1.3572 0.2285 0.1913 0.1621 3.0313 0.8398 0.5784 0.4256 0.8719 0.5109 0.1101 0.304 0.7947 0.2943 0.2752 4.6234 5.4403 0.6182 0.5582 1.318 0.6411 1.8683 0.3811
RERFLCMS_LUNG 3.202 0.4693 0.06091 NA 0 NA 0.01935 NA 0.03182 0 0 0.6165 0.0986 0.005164 NA 0.482 5.9558 3.3784 0.4206 0.07522 0.07675 0.2032 1.2569 0.878
NCIH460_LUNG 4.2751 1.0809 0.1118 0.6252 0.06994 NA 0.6794 0.2832 0.1102 NA 0.2963 1.3956 NA 0.3076 0.1941 0.1837 4.9726 4.002 0.9633 0.1393 0.8719 0.4967 3.151 0.8723
KYSE140_OESOPHAGUS 1.6901 1.627 1.8523 0.1921 2.1105 NA NA 0.7395 2.2679 NA 0.2324 1.9335 NA 0.385 1.2101 0.4187 3.5397 3.5643 NA 0.1106 0.808 1.4472 2.3975 1.284
KYSE180_OESOPHAGUS 4.5305 1.2614 1.6671 0.3191 1.55 NA NA 0.6691 1.7008 NA 0.4469 0.3991 NA 1.0874 0.4611 0.5049 6.5708 3.9365 NA 0.3126 1.0755 0.8789 3.9397 0.786
HUPT3_PANCREAS 2.5525 0.5173 0.7185 1.6739 0.2869 2.011 0 0.6851 0.1481 0.1507 0.3224 2.2718 0.3721 0.391 0.1855 0.1687 4.484 3.932 0.9198 0.1761 0.1825 0.7941 1.9046 1.1563
EFE184_ENDOMETRIUM 1.8778 0.5889 1.4942 1.1417 0.5729 2.2955 0 0.2116 1.0358 0.2116 0.1986 1.3875 0.03832 0.2181 0.333 0 2.0256 3.3759 0.8661 0.3326 0.4804 0.3328 1.6699 0.7584
SW579_THYROID 4.6507 0.4121 1.5267 0.3181 0.3561 3.4352 0 0.8646 0.219 1.0923 0.9223 1.3252 0.2898 0.4107 0.1384 0.632 5.6305 4.3588 1.8535 1.8088 1.35 2.145 3.4254 2.0944
MDAMB468_BREAST 2.575 1.9311 1.016 0.9323 1.8648 3.8767 1.5567 0.8595 1.4168 0.6117 0.9397 1.5386 0.903 1.0025 0.868 0.1516 6.075 3.384 1.9761 0.8336 1.4916 1.6093 3.7305 1.8697
BT549_BREAST 4.799 1.0007 0.8363 0.2601 0.2467 3.4086 0.1532 1.6262 1.0001 0.641 0.2901 0.1503 0 0.533 0.1106 0.4886 5.817 3.7698 2.1067 0.5889 0.7964 1.0845 4.1961 0.9727
CAL851_BREAST 3.6877 1.3703 1.7728 1.7048 2.0234 2.8611 0.09294 1.9431 1.9052 0.07419 0.1528 2.3533 0.2048 0.2923 0.04997 0.2709 5.3918 4.751 2.3477 0.04859 0.9655 0.322 2.4477 1.7151
EFO21_OVARY 2.2269 1.1699 0.6374 0.8452 0.463 1.9361 0.09827 0.6449 0.5927 0.08193 0.2278 1.0839 0.09228 0.3743 0.2856 0.2946 3.8972 3.2021 1.9322 0.5223 1.7014 0.696 2.5609 1.2608
A375_SKIN 3.5625 1.4484 0.9057 3.2996 0.2889 3.9345 0.02134 0.09724 0.1527 0.521 0.4491 4.8148 0.1961 0.7175 0.4121 2.9645 6.0932 4.6373 2.2543 0.6118 1.8735 1.0899 3.2038 0.8069
HT29_LARGE_INTESTINE 5.3135 1.8932 0.9439 4.148 0 3.1076 0.1403 0.1759 0.8029 0.4398 0.3962 4.683 0.343 0.5708 0.2648 1.6266 6.2246 4.5754 2.0208 0.658 2.1444 0.9653 2.4461 1.2904
SKMEL5_SKIN 1.6628 1.3453 0.2502 2.9562 0.4067 3.1361 0.07814 1.3178 0.03464 0.4471 0.9531 4.2166 0.3079 0.273 0.2392 2.0478 4.9196 4.3233 3.0013 0.9226 0.8215 0.6991 2.5007 0.2841
HS944T_SKIN 3.4641 0.919 0.7203 2.5552 0.3722 4.1102 0.1918 3.0047 0.2636 0.2055 0.4258 3.1033 0.2519 0.71 0.3612 0.7113 6.4682 4.3351 2.182 0.6535 0.8553 1.2664 3.7638 0.7532
PC3_PROSTATE 2.0787 0.4745 1.6719 0.2844 0.5852 1.9126 0.02175 0.1617 0.3291 0.3649 0.4157 0 0.01016 0.1819 0.01305 0.1995 4.2393 3.2379 1.2956 0.4568 0.9641 0.5543 1.5711 0.8141
NUGC3_STOMACH 4.1622 1.0673 0.9751 1.6916 1.82 4.6195 0.7761 0.6979 1.5373 0.5547 0.3105 2.1154 0.1617 0.4736 0.2236 0.8798 7.0402 4.2428 1.7195 1.0741 1.003 0.6742 4.3889 1.772
U87MG_CENTRAL_NERVOUS_SYSTEM 3.4931 0.3154 0.03487 0.4738 0.07387 1.4987 0.002326 0.2053 0.5471 0.2714 0.4944 1.3091 0.6737 0.8907 0.443 0.02147 4.303 3.4181 1.4162 0.2031 0.5188 0.477 1.6427 0.2363
CAKI2_KIDNEY 1.6136 1.1466 1.4118 1.2769 1.0932 0.5537 0.1271 0.3552 0.7662 0.03836 0.1525 1.8386 0.1423 0 0 0.4033 4.8113 3.6886 1.5667 0.4486 0.729 0.9492 1.1215 1.2657
KMRC2_KIDNEY 2.2171 0.8069 2.8096 0.5113 0.505 1.6298 0 0.4269 0.7808 0.1628 0.8298 1.0423 0 0.9416 0.05675 0.5086 3.9946 3.2458 1.4841 0.4541 1.8094 0.6557 2.3736 2.2647
IM95_STOMACH 5.2425 1.8968 1.59 4.5529 2.1284 NA 2.1175 1.4143 1.3837 2 0.4315 3.5032 2.7932 1.8964 2.4817 1.0346 6.4774 5.6788 1.4441 0.4556 0.4255 1.7889 2.9373 2.539
WM2664_SKIN 5.5988 0.408 0 3.4457 0.08816 NA 0.1337 0.1912 0.1532 NA 0.7351 4.8727 NA 0.6252 0.1215 1.5993 4.0908 4.9417 1.965 0.1223 0.4785 0.6291 3.3541 1.2894
KMRC1_KIDNEY 2.7651 1.1574 1.6644 0.703 0.8457 2.3962 0.7012 0.1215 0.4486 0.1906 0.834 1.5562 0.7256 0.4754 0.3043 0.2211 4.304 3.2386 1.3821 0.337 0.8743 1.2307 2.4108 1.5469
T84_LARGE_INTESTINE 2.5327 1.1858 1.0293 1.568 1.0015 2.2281 0.5854 0.3676 0.2998 0.7187 1.0549 2.1085 0.8757 0.8613 0.4742 0.5119 4.1065 3.9686 0.8543 0.614 2.3855 0.007705 1.1731 1.563
CALU1_LUNG 3.3698 0.1548 0.2008 1.6146 0.04256 1.8093 0.01624 0.06953 0.3518 0.1917 0.3751 2.1985 0.04588 0.08662 0.195 0 4.1905 3.5222 1.5971 0.05791 0.8478 0.6033 1.9735 0.3933
LOXIMVI_SKIN 4.0766 0.4342 1.2245 2.4416 0.09979 NA 0.05401 0.6136 0.0391 NA 0.5973 2.7549 0.02421 0.6165 0.469 1.0243 4.9676 4.405 1.3366 0.524 1.1578 0.6485 4.1702 0.9262
NCIH2170_LUNG 4.5194 0.9193 1.7978 0.3377 2.0307 3.5838 0.1361 0.1053 3.1451 0.9569 0.3865 0.684 1.1408 0.5128 0.118 0.01563 6.47 5.0943 1.4324 0.1748 1.5386 0.8038 4.5073 1.8922
SQ1_LUNG 4.1275 1.0544 1.9154 0.9389 0.9531 NA 0.4788 3.2487 0.6781 NA 0.06167 1.1333 NA 0.06157 1.4825 0.5213 4.5905 4.9539 NA 0.6838 0.7909 1.0249 2.0749 2.2652
AN3CA_ENDOMETRIUM 4.0092 0.3505 0.4755 0.6207 0.3018 NA 0.09343 0.7078 0 0.1972 0.8132 0.7369 0.6144 0.02807 0.5684 0.3717 5.5767 3.5863 1.095 0.1933 0.2236 1.06 1.4581 1.8901
NCIH2444_LUNG 2.3125 0.5609 0.528 1.2551 0.4111 3.0533 0.1334 1.4321 1.0206 0.1556 0.2141 2.4795 0.7247 0.2978 0.4396 0.1747 4.1579 4.1274 0.9508 0.1305 0.3241 0.1748 1.3742 0.6515
UACC257_SKIN 2.2128 0.5798 0.3102 2.9813 0 NA 0.1982 0.2906 0.01452 NA 0.4674 4.2295 NA 0.1327 0.2647 2.0796 3.6187 4.057 1.2821 0.3558 0.4377 0.3173 2.1144 0.9322
KYSE510_OESOPHAGUS 3.7623 1.3086 0.348 0.2195 0.3023 NA 0.2331 0.7552 0.311 NA 0.6075 0.04356 NA 0.1044 0.6993 0.4983 6.5046 3.8037 NA 0.6993 0.5215 0.8546 4.2576 0.2942
HUPT4_PANCREAS 4.9176 2.0752 2.4276 2.1476 1.4576 NA 0.618 1.409 1.1058 1.2267 1.0421 4.3231 1.2859 1.6044 0.7677 0 5.8226 5.0741 2.2658 0.15 2.8087 0.9989 4.3506 2.3812
KYSE30_OESOPHAGUS 2.8684 0.9594 1.2127 3.1061 0.9731 2.8093 0.03003 0.6556 0.521 0.4685 0.2538 3.742 0.09123 0.5526 0.139 0.8567 5.8173 3.8094 1.0124 0.466 1.2814 0.5281 2.9748 1.1229
KYSE150_OESOPHAGUS 3.8432 0.4188 0.3552 0.08227 0.7703 NA 0.2318 0.6142 0.5937 NA 0.2893 0.5862 NA 0.267 0 0.1422 4.5075 3.4319 0.8829 0.08508 0.4303 0.5562 1.5052 0.8659
PSN1_PANCREAS 3.4967 0.5187 0.1458 2.4693 0.2199 NA 0.543 0.3796 0.05786 NA 0.2706 3.0172 NA 0.04047 0.7477 0.07306 5.7164 4.1128 NA 0.2279 0.8693 0.2996 2.709 0.4477
